WellName,JobName,StartDate,,,,,
BFU TR 16-2 1 (JOHNSON ES A-1),21.07.12 - BFU 16-2-1 HIT,7/12/2021,,,,,
BFU TR 16-2 1 (JOHNSON ES A-1),22.11.28. - BFU 16-2 - HIT,11/28/2022,,,,,
BFU TR 9-6 2 (CRONE 1),13.08.01 - Bfu 9-6 #2 Reactivation Report,11/5/2015,,,,,
BFU TR 9-6 2 (CRONE 1),14.04.10 - BFU 9-6-2 - Pump Replacement,11/5/2015,,,,,
BFU TR 9-6 2 (CRONE 1),14.09.05 - BFU 9-6 #2 - Pump Stuck,11/5/2015,,,,,
BFU TR 9-6 2 (CRONE 1),14.09.22 - BFU 9-6 #2 Pump,11/5/2015,,,,,
BFU TR 9-6 2 (CRONE 1),15.08.06 - BFU 9-6-2 Repair Pump,11/5/2015,,,,,
BFU TR 9-6 2 (CRONE 1),16.01.19 - BFU 9-6-2 HIT,1/19/2016,,,,,
BFU TR 9-6 2 (CRONE 1),22.11.30. - BFU TR 9-6 2 - HIT,11/30/2022,,,,,
BIG POLECAT 1 (aka Federal W-061100),(1988.11.10) Acid Treatment,11/10/1988,,,,,
BIG POLECAT 1 (aka Federal W-061100),(2005.01.05) Workover,1/5/2005,,,,,
BIG POLECAT 1 (aka Federal W-061100),(1969.04.05) Acid Treatment,4/5/1969,,,,,
BIG POLECAT 1 (aka Federal W-061100),(2012.09.26) Pump Change,9/26/2012,,,,,
BIG POLECAT 1 (aka Federal W-061100),21.06.08  - Big Polecat 1 - PCP  Install,6/10/2021,,,,,
BIG POLECAT 1 (aka Federal W-061100),22.04.14 - Big Polecat 1- Deepen PCP,4/14/2022,,,,,
BIG POLECAT 1 (aka Federal W-061100),22.10.31 - Big Polecat Govt 06110 - Rod Part,11/1/2022,,,,,
BIG POLECAT 1 (aka Federal W-061100),22.12.30 - Big Polecat 1 - Top Drive Repair,1/3/2023,,,,,
BIG POLECAT 1 (aka Federal W-061100),"23.05.22- Big Polecat- Replace VSD, New pump",5/22/2023,,,,,
BIG POLECAT 1 (aka Federal W-061100),23.05.08 - Big Polecat 1 - Fish Parted PR,5/8/2023,,,,,
BLACKHAWK 1-16 HD1,(1999.03.21) Acid Treatment,3/21/1999,,,,,
BLACKHAWK 1-16 HD1,(2012.10.31) Pump Change,10/31/2012,,,,,
BLACKHAWK 1-16 HD1,(2012.06.01) Rod Repair,6/1/2012,,,,,
BLACKHAWK 1-16 HD1,(2014.12.08) Rod Repair,12/8/2014,,,,,
BLACKHAWK 1-16 HD1,(2013.02.04) Pump Change,2/4/2013,,,,,
BLACKHAWK 1-16 HD1,21.05.05 - Blackhawk 1-16 HD1 - RTP,5/5/2021,,,,,
BLACKHAWK 1-16 HD1,22.06.30 - Blackhawk 1-16 HD1 - Deepen Pump,7/1/2022,,,,,
BLANCHE FOX 1-21 (PA),(2014.04.16) Plunger Lift System Repair,4/16/2014,,,,,
BLANCHE FOX 1-21 (PA),(2011.06.29) Plunger Lift System Repair,6/29/2011,,,,,
BLANCHE FOX 1-21 (PA),(2014.11.18) Plunger Lift System Repair,11/18/2014,,,,,
BLANCHE FOX 1-21 (PA),(2009.06.09) Plunger Lift System Repair,6/9/2009,,,,,
BLANCHE FOX 1-21 (PA),(1999.03.25) Equipment Maintenance,3/25/1999,,,,,
BLANCHE FOX 1-21 (PA),(2008.01.24) Pressure Build-Up Survey,1/24/2008,,,,,
BLANCHE FOX 1-21 (PA),17.01.04 - FOX BLANCHE # 1 PLUNGER LIFT REPAIR,1/4/2017,,,,,
BLANCHE FOX 1-21 (PA),17.07.17 - Fox # 1 - Production Restoration,7/7/2017,,,,,
BLANCHE FOX 1-21 (PA),19.03.01 - Fox Blanche #1 - Swab,3/1/2019,,,,,
BLANCHE FOX 1-21 (PA),2019.04.29. - Blanche Fox 1-21-RT - MIRU Swab Rig,4/30/2019,,,,,
BREHM-DILLON 1 (TENSLEEP),(2010.02.01) Rod Repair,2/1/2010,,,,,
BREHM-DILLON 1 (TENSLEEP),(2010.07.26) Pump Change,7/26/2010,,,,,
BREHM-DILLON 1 (TENSLEEP),(2008.02.27) Rod Repair,2/27/2008,,,,,
BREHM-DILLON 1 (TENSLEEP),(2009.01.21) Rod Repair,1/21/2009,,,,,
BREHM-DILLON 1 (TENSLEEP),(2009.06.17) Tubing Repair,6/17/2009,,,,,
BREHM-DILLON 1 (TENSLEEP),(1970.05.31) Fracture Treatment,5/31/1970,,,,,
BREHM-DILLON 1 (TENSLEEP),(1963.01.23) Acid Treatment,1/23/1963,,,,,
BREHM-DILLON 1 (TENSLEEP),(2010.01.05) Rod Repair,1/5/2010,,,,,
BROOKS 2-5,19.02.20 - Brooks 2-5 - Swab,2/20/2019,,,,,
BROOKS 2-5,21.06.14. - Brooks 2-5 - Swab,6/14/2021,,,,,
BROOKS 2-5,23.09.19. - BROOKS 2-5 - Slickline New Collar Stop,9/19/2023,,,,,
BROOKS 2-5,23.09.13. - BROOKS 2-5 - Swab Test,9/13/2023,,,,,
BROOKS 3-5,19.09.24. - Brooks 3-5 - Swabbing,9/24/2019,,,,,
BROOKS 3-5,23.09.13. - BROOKS 3-5 - Swab Test,9/13/2023,,,,,
BROWN 1-32 -RT,Swab Well,9/10/2015,,,,,
BROWN 1-32 -RT,16.05.02 - Brown 1-32 PKR Installation,5/2/2016,,,,,
BROWN 1-32 -RT,(2004.05.17) Plunger Lift System Repair,5/17/2004,,,,,
BROWN 1-32 -RT,(2009.09.28) Plunger Lift System Repair,9/28/2009,,,,,
BROWN 1-32 -RT,(1998.04.01) Casing Repair,4/1/1998,,,,,
BROWN 1-32 -RT,(2004.04.30) Equipment Maintenance,4/30/2004,,,,,
BROWN 1-32 -RT,(2008.06.18) Plunger Lift System Repair,6/18/2008,,,,,
BROWN 1-32 -RT,(2010.06.30) Fluid Level/Pressure Test,6/30/2010,,,,,
BROWN 1-32 -RT,(2010.09.01) Plunger Lift System Repair,9/1/2010,,,,,
BROWN 1-32 -RT,(2003.03.05) Plunger Lift System Repair,3/5/2003,,,,,
BROWN 1-32 -RT,(2004.05.30) Equipment Maintenance,5/30/2004,,,,,
BUCKNER C-1 (FKA BFU 16-4 1),13.07.01 - BFU 16-4 #1 Casing Leak Squeeze,11/5/2015,,,,,
BUCKNER C-1 (FKA BFU 16-4 1),14.01.13 - BFU 16-4#1 RIH Packer,11/5/2015,,,,,
BUCKNER C-1 (FKA BFU 16-4 1),14.04.14 - BFU 16-4 - Pump Repair,11/5/2015,,,,,
BUCKNER C-1 (FKA BFU 16-4 1),14.07.29 - Buckner C-1 TP Completion,11/5/2015,,,,,
